"hormone","n","mean","sd","median","min","max","skewness","kurtosis","group"
"hormone1",987,1.8238,1.5799,1.5,0.05,26.1,6.4323,71.2834,"Outcome=0"
"hormone2",987,375.1479,255.4109,312,31,2798,3.2588,17.9879,"Outcome=0"
"hormone3",987,8.9909,11.5823,5.6,0,118.4,4.1789,23.5469,"Outcome=0"
"hormone4",987,7.5077,10.9219,5.5,0.1,131.4,6.858,57.0204,"Outcome=0"
"hormone5",987,335.6076,332.255,274.898,0,5686.811,6.7049,80.358,"Outcome=0"
"hormone6",987,78.8898,53.9886,64.5,0.76,375.2,1.6583,3.7115,"Outcome=0"
"hormone7",987,5.6252,3.8988,5.1,0,47.1,2.8435,20.1401,"Outcome=0"
"hormone8",987,180.0204,87.2303,166,16.3,558,1.1413,1.7072,"Outcome=0"
"hormone10_generated",987,0.7617,8.2983,0.427,0.077,261,31.3438,983.9452,"Outcome=0"
"hormone1",160,1.6581,0.8625,1.5,0.3,5.5,1.5602,3.6826,"Outcome=1"
"hormone2",160,411.9562,270.8857,365.5,77,2630,4.1427,28.5334,"Outcome=1"
"hormone3",160,9.9106,11.7904,6.05,0.1,91.2,3.4663,16.4079,"Outcome=1"
"hormone4",160,9.4012,13.4356,5.5,1.5,90,4.1143,17.9208,"Outcome=1"
"hormone5",160,276.4485,235.4446,250,0,2264.758,4.7321,34.1105,"Outcome=1"
"hormone6",160,75.7544,48.6841,68.7,4.4,283.1,1.449,3.1264,"Outcome=1"
"hormone7",160,5.65,3.9696,5.1,0.2,34.7,2.7242,17.0756,"Outcome=1"
"hormone8",160,153.7625,70.9638,142.5,20.7,384,0.7781,0.3628,"Outcome=1"
"hormone10_generated",160,0.5083,0.3656,0.4555,0.077,2.971,3.1832,16.1323,"Outcome=1"
